id,name,value
__export__.fal_ref_data_V72-040-040-KV-ET-M04,V72-040-040-KV-ET-M04,VBL-040-L1-ET-KV-M04-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M05,V72-040-040-KV-ET-M05,VBL-040-L1-ET-KV-M05-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M06,V72-040-040-KV-ET-M06,VBL-040-L1-ET-KV-M06-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M07,V72-040-040-KV-ET-M07,VBL-040-L1-ET-KV-M07-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M08,V72-040-040-KV-ET-M08,VBL-040-L1-ET-KV-M08-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M09,V72-040-040-KV-ET-M09,VBL-040-L1-ET-KV-M09-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M10,V72-040-040-KV-ET-M10,VBL-040-L1-ET-KV-M10-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M11,V72-040-040-KV-ET-M11,VBL-040-L1-ET-KV-M11-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-ET-M12,V72-040-040-KV-ET-M12,VBL-040-L1-ET-KV-M12-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M01,V72-040-040-KV-IT-M01,VBL-040-L1-IT-KV-M01-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M02,V72-040-040-KV-IT-M02,VBL-040-L1-IT-KV-M02-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M03,V72-040-040-KV-IT-M03,VBL-040-L1-IT-KV-M03-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M04,V72-040-040-KV-IT-M04,VBL-040-L1-IT-KV-M04-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M05,V72-040-040-KV-IT-M05,VBL-040-L1-IT-KV-M05-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M06,V72-040-040-KV-IT-M06,VBL-040-L1-IT-KV-M06-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M07,V72-040-040-KV-IT-M07,VBL-040-L1-IT-KV-M07-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M08,V72-040-040-KV-IT-M08,VBL-040-L1-IT-KV-M08-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M09,V72-040-040-KV-IT-M09,VBL-040-L1-IT-KV-M09-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M10,V72-040-040-KV-IT-M10,VBL-040-L1-IT-KV-M10-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M11,V72-040-040-KV-IT-M11,VBL-040-L1-IT-KV-M11-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-040-KV-IT-M12,V72-040-040-KV-IT-M12,VBL-040-L1-IT-KV-M12-A_040-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M01,V72-040-050-KN-ET-M01,VBL-040-L1-ET-KN-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M02,V72-040-050-KN-ET-M02,VBL-040-L1-ET-KN-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M03,V72-040-050-KN-ET-M03,VBL-040-L1-ET-KN-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M04,V72-040-050-KN-ET-M04,VBL-040-L1-ET-KN-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M05,V72-040-050-KN-ET-M05,VBL-040-L1-ET-KN-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M06,V72-040-050-KN-ET-M06,VBL-040-L1-ET-KN-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M07,V72-040-050-KN-ET-M07,VBL-040-L1-ET-KN-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M08,V72-040-050-KN-ET-M08,VBL-040-L1-ET-KN-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M09,V72-040-050-KN-ET-M09,VBL-040-L1-ET-KN-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M10,V72-040-050-KN-ET-M10,VBL-040-L1-ET-KN-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M11,V72-040-050-KN-ET-M11,VBL-040-L1-ET-KN-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-ET-M12,V72-040-050-KN-ET-M12,VBL-040-L1-ET-KN-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M01,V72-040-050-KN-IT-M01,VBL-040-L1-IT-KN-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M02,V72-040-050-KN-IT-M02,VBL-040-L1-IT-KN-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M03,V72-040-050-KN-IT-M03,VBL-040-L1-IT-KN-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M04,V72-040-050-KN-IT-M04,VBL-040-L1-IT-KN-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M05,V72-040-050-KN-IT-M05,VBL-040-L1-IT-KN-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M06,V72-040-050-KN-IT-M06,VBL-040-L1-IT-KN-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M07,V72-040-050-KN-IT-M07,VBL-040-L1-IT-KN-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M08,V72-040-050-KN-IT-M08,VBL-040-L1-IT-KN-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M09,V72-040-050-KN-IT-M09,VBL-040-L1-IT-KN-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M10,V72-040-050-KN-IT-M10,VBL-040-L1-IT-KN-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M11,V72-040-050-KN-IT-M11,VBL-040-L1-IT-KN-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KN-IT-M12,V72-040-050-KN-IT-M12,VBL-040-L1-IT-KN-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M01,V72-040-050-KV-ET-M01,VBL-040-L1-ET-KV-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M02,V72-040-050-KV-ET-M02,VBL-040-L1-ET-KV-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M03,V72-040-050-KV-ET-M03,VBL-040-L1-ET-KV-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M04,V72-040-050-KV-ET-M04,VBL-040-L1-ET-KV-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M05,V72-040-050-KV-ET-M05,VBL-040-L1-ET-KV-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M06,V72-040-050-KV-ET-M06,VBL-040-L1-ET-KV-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M07,V72-040-050-KV-ET-M07,VBL-040-L1-ET-KV-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M08,V72-040-050-KV-ET-M08,VBL-040-L1-ET-KV-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M09,V72-040-050-KV-ET-M09,VBL-040-L1-ET-KV-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M10,V72-040-050-KV-ET-M10,VBL-040-L1-ET-KV-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M11,V72-040-050-KV-ET-M11,VBL-040-L1-ET-KV-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-ET-M12,V72-040-050-KV-ET-M12,VBL-040-L1-ET-KV-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M01,V72-040-050-KV-IT-M01,VBL-040-L1-IT-KV-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M02,V72-040-050-KV-IT-M02,VBL-040-L1-IT-KV-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M03,V72-040-050-KV-IT-M03,VBL-040-L1-IT-KV-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M04,V72-040-050-KV-IT-M04,VBL-040-L1-IT-KV-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M05,V72-040-050-KV-IT-M05,VBL-040-L1-IT-KV-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M06,V72-040-050-KV-IT-M06,VBL-040-L1-IT-KV-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M07,V72-040-050-KV-IT-M07,VBL-040-L1-IT-KV-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M08,V72-040-050-KV-IT-M08,VBL-040-L1-IT-KV-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M09,V72-040-050-KV-IT-M09,VBL-040-L1-IT-KV-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M10,V72-040-050-KV-IT-M10,VBL-040-L1-IT-KV-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M11,V72-040-050-KV-IT-M11,VBL-040-L1-IT-KV-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-050-KV-IT-M12,V72-040-050-KV-IT-M12,VBL-040-L1-IT-KV-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M01,V72-040-080-KN-ET-M01,VBL-040-L1-ET-KN-M01-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M02,V72-040-080-KN-ET-M02,VBL-040-L1-ET-KN-M02-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M03,V72-040-080-KN-ET-M03,VBL-040-L1-ET-KN-M03-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M04,V72-040-080-KN-ET-M04,VBL-040-L1-ET-KN-M04-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M05,V72-040-080-KN-ET-M05,VBL-040-L1-ET-KN-M05-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M06,V72-040-080-KN-ET-M06,VBL-040-L1-ET-KN-M06-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M07,V72-040-080-KN-ET-M07,VBL-040-L1-ET-KN-M07-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M08,V72-040-080-KN-ET-M08,VBL-040-L1-ET-KN-M08-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M09,V72-040-080-KN-ET-M09,VBL-040-L1-ET-KN-M09-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M10,V72-040-080-KN-ET-M10,VBL-040-L1-ET-KN-M10-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M11,V72-040-080-KN-ET-M11,VBL-040-L1-ET-KN-M11-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-ET-M12,V72-040-080-KN-ET-M12,VBL-040-L1-ET-KN-M12-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M01,V72-040-080-KN-IT-M01,VBL-040-L1-IT-KN-M01-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M02,V72-040-080-KN-IT-M02,VBL-040-L1-IT-KN-M02-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M03,V72-040-080-KN-IT-M03,VBL-040-L1-IT-KN-M03-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M04,V72-040-080-KN-IT-M04,VBL-040-L1-IT-KN-M04-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M05,V72-040-080-KN-IT-M05,VBL-040-L1-IT-KN-M05-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M06,V72-040-080-KN-IT-M06,VBL-040-L1-IT-KN-M06-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M07,V72-040-080-KN-IT-M07,VBL-040-L1-IT-KN-M07-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M08,V72-040-080-KN-IT-M08,VBL-040-L1-IT-KN-M08-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M09,V72-040-080-KN-IT-M09,VBL-040-L1-IT-KN-M09-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M10,V72-040-080-KN-IT-M10,VBL-040-L1-IT-KN-M10-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M11,V72-040-080-KN-IT-M11,VBL-040-L1-IT-KN-M11-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KN-IT-M12,V72-040-080-KN-IT-M12,VBL-040-L1-IT-KN-M12-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M01,V72-040-080-KV-ET-M01,VBL-040-L1-ET-KV-M01-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M02,V72-040-080-KV-ET-M02,VBL-040-L1-ET-KV-M02-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M03,V72-040-080-KV-ET-M03,VBL-040-L1-ET-KV-M03-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M04,V72-040-080-KV-ET-M04,VBL-040-L1-ET-KV-M04-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M05,V72-040-080-KV-ET-M05,VBL-040-L1-ET-KV-M05-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M06,V72-040-080-KV-ET-M06,VBL-040-L1-ET-KV-M06-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M07,V72-040-080-KV-ET-M07,VBL-040-L1-ET-KV-M07-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M08,V72-040-080-KV-ET-M08,VBL-040-L1-ET-KV-M08-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M09,V72-040-080-KV-ET-M09,VBL-040-L1-ET-KV-M09-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M10,V72-040-080-KV-ET-M10,VBL-040-L1-ET-KV-M10-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M11,V72-040-080-KV-ET-M11,VBL-040-L1-ET-KV-M11-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-ET-M12,V72-040-080-KV-ET-M12,VBL-040-L1-ET-KV-M12-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M01,V72-040-080-KV-IT-M01,VBL-040-L1-IT-KV-M01-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M02,V72-040-080-KV-IT-M02,VBL-040-L1-IT-KV-M02-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M03,V72-040-080-KV-IT-M03,VBL-040-L1-IT-KV-M03-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M04,V72-040-080-KV-IT-M04,VBL-040-L1-IT-KV-M04-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M05,V72-040-080-KV-IT-M05,VBL-040-L1-IT-KV-M05-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M06,V72-040-080-KV-IT-M06,VBL-040-L1-IT-KV-M06-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M07,V72-040-080-KV-IT-M07,VBL-040-L1-IT-KV-M07-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M08,V72-040-080-KV-IT-M08,VBL-040-L1-IT-KV-M08-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M09,V72-040-080-KV-IT-M09,VBL-040-L1-IT-KV-M09-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M10,V72-040-080-KV-IT-M10,VBL-040-L1-IT-KV-M10-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M11,V72-040-080-KV-IT-M11,VBL-040-L1-IT-KV-M11-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-040-080-KV-IT-M12,V72-040-080-KV-IT-M12,VBL-040-L1-IT-KV-M12-A_080-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M01,V72-050-050-KN-ET-M01,VBL-050-L1-ET-KN-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M02,V72-050-050-KN-ET-M02,VBL-050-L1-ET-KN-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M03,V72-050-050-KN-ET-M03,VBL-050-L1-ET-KN-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M04,V72-050-050-KN-ET-M04,VBL-050-L1-ET-KN-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M05,V72-050-050-KN-ET-M05,VBL-050-L1-ET-KN-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M06,V72-050-050-KN-ET-M06,VBL-050-L1-ET-KN-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M07,V72-050-050-KN-ET-M07,VBL-050-L1-ET-KN-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M08,V72-050-050-KN-ET-M08,VBL-050-L1-ET-KN-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M09,V72-050-050-KN-ET-M09,VBL-050-L1-ET-KN-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M10,V72-050-050-KN-ET-M10,VBL-050-L1-ET-KN-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M11,V72-050-050-KN-ET-M11,VBL-050-L1-ET-KN-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-ET-M12,V72-050-050-KN-ET-M12,VBL-050-L1-ET-KN-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M01,V72-050-050-KN-IT-M01,VBL-050-L1-IT-KN-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M02,V72-050-050-KN-IT-M02,VBL-050-L1-IT-KN-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M03,V72-050-050-KN-IT-M03,VBL-050-L1-IT-KN-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M04,V72-050-050-KN-IT-M04,VBL-050-L1-IT-KN-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M05,V72-050-050-KN-IT-M05,VBL-050-L1-IT-KN-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M06,V72-050-050-KN-IT-M06,VBL-050-L1-IT-KN-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M07,V72-050-050-KN-IT-M07,VBL-050-L1-IT-KN-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M08,V72-050-050-KN-IT-M08,VBL-050-L1-IT-KN-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M09,V72-050-050-KN-IT-M09,VBL-050-L1-IT-KN-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M10,V72-050-050-KN-IT-M10,VBL-050-L1-IT-KN-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M11,V72-050-050-KN-IT-M11,VBL-050-L1-IT-KN-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KN-IT-M12,V72-050-050-KN-IT-M12,VBL-050-L1-IT-KN-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M01,V72-050-050-KV-ET-M01,VBL-050-L1-ET-KV-M01-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M02,V72-050-050-KV-ET-M02,VBL-050-L1-ET-KV-M02-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M03,V72-050-050-KV-ET-M03,VBL-050-L1-ET-KV-M03-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M04,V72-050-050-KV-ET-M04,VBL-050-L1-ET-KV-M04-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M05,V72-050-050-KV-ET-M05,VBL-050-L1-ET-KV-M05-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M06,V72-050-050-KV-ET-M06,VBL-050-L1-ET-KV-M06-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M07,V72-050-050-KV-ET-M07,VBL-050-L1-ET-KV-M07-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M08,V72-050-050-KV-ET-M08,VBL-050-L1-ET-KV-M08-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M09,V72-050-050-KV-ET-M09,VBL-050-L1-ET-KV-M09-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M10,V72-050-050-KV-ET-M10,VBL-050-L1-ET-KV-M10-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M11,V72-050-050-KV-ET-M11,VBL-050-L1-ET-KV-M11-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-050-050-KV-ET-M12,V72-050-050-KV-ET-M12,VBL-050-L1-ET-KV-M12-B_050-NP-NL-NT-NC-XX_XXX-XX-XX
